number,type,height,region,notes
Tas Farm 0122,alnus,35,Tasiusaq,above Lennert family white house
Tas Farm 0123,alnus,30,Tasiusaq,above Lennert family white house
Tas Farm 0124,alnus,37,Tasiusaq,above Lennert family white house
Tas Farm 0125,alnus,43,Tasiusaq,above Lennert family white house
Tas Farm 0126,alnus,35,Tasiusaq,above Lennert family white house
Tas Farm 0127,alnus,27,Tasiusaq,above Lennert family white house
Tas Farm 0128,alnus,35,Tasiusaq,above Lennert family white house
Tas Farm 0129,alnus,25,Tasiusaq,above Lennert family white house
Tas Farm 0130,alnus,28,Tasiusaq,above Lennert family white house
Tas Farm 0131,alnus,17,Tasiusaq,above Lennert family white house
Tas Farm 0087,contorta,6,Tasiusaq,below Lennert family white house
Tas Farm 0088,contorta,9,Tasiusaq,below Lennert family white house
Tas Farm 0089,contorta,8,Tasiusaq,below Lennert family white house
Tas Farm 0090,contorta,5,Tasiusaq,below Lennert family white house
Tas Farm 0091,contorta,4,Tasiusaq,below Lennert family white house
Tas Farm 0092,alnus,54,Tasiusaq,below Lennert family white house
Tas Farm 0093,alnus,34,Tasiusaq,below Lennert family white house
Tas Farm 0094,alnus,53,Tasiusaq,below Lennert family white house
Tas Farm 0095,alnus,57,Tasiusaq,below Lennert family white house
Tas Farm 0096,alnus,5,Tasiusaq,below Lennert family white house buried in willow
Tas Farm 0097,alnus,17,Tasiusaq,below Lennert family white house
Tas Farm 0098,alnus,34,Tasiusaq,below Lennert family white house
Tas Farm 0099,alnus,30,Tasiusaq,below Lennert family white house
Tas Farm 0100,alnus,62,Tasiusaq,below Lennert family white house
Tas Farm 0101,alnus,12,Tasiusaq,below Lennert family white house
Tas Farm 0102,alnus,57,Tasiusaq,below Lennert family white house
Tas Farm 0103,alnus,55,Tasiusaq,below Lennert family white house
Tas Farm 0104,alnus,27,Tasiusaq,below Lennert family white house
Tas Farm 0105,alnus,32,Tasiusaq,below Lennert family white house
Tas Farm 0106,alnus,40,Tasiusaq,below Lennert family white house
Tas Farm 0107,alnus,30,Tasiusaq,below Lennert family white house
Tas Farm 0132,alnus,18,Tasiusaq,below Lennert family white house
Tas Farm 0133,alnus,19,Tasiusaq,below Lennert family white house
Tas Farm 0134,alnus,13,Tasiusaq,below Lennert family white house
Tas Farm 0135,alnus,15,Tasiusaq,below Lennert family white house
Tas Farm 0136,alnus,15,Tasiusaq,below Lennert family white house
